metabolite,name,Formula,molecular_weight,C_number,N_number,S_number,P_number
10fthf_c,10-Formyltetrahydrofolate,C20H21N7O7,471.42344,20,7,0,0
adp_c,ADP,C10H12N5O10P2,424.1773,10,5,0,2
atp_c,ATP,C10H12N5O13P3,503.14927,10,5,0,3
glu__L_c,L-Glutamate,C5H8NO4,146.12132,5,1,0,0
pi_c,Phosphate,HO4P,95.9793,0,0,0,1
12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,456.69878,27,0,0,0
12dgr120_p,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,456.69878,27,0,0,0
12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,512.8051,31,0,0,0
12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,508.77334,31,0,0,0
12dgr141_p,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,508.77334,31,0,0,0
12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,568.91142,35,0,0,0
12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,625.01774,39,0,0,0
12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,625.01774,39,0,0,0
12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,620.98598,39,0,0,0
12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,620.98598,39,0,0,0
12ppd__R_c,"(R)-Propane-1,2-diol",C3H8O2,76.09442,3,0,0,0
h2o_c,H2O,H2O,18.01528,0,0,0,0
ppal_c,Propanal,C3H6O,58.07914,3,0,0,0
12ppd__S_c,"(S)-Propane-1,2-diol",C3H8O2,76.09442,3,0,0,0
glc__D_c,D-Glucose,C6H12O6,180.15588,6,0,0,0
glc__D_e,D-Glucose,C6H12O6,180.15588,6,0,0,0
h2o_e,H2O,H2O,18.01528,0,0,0,0
h2o2_c,Hydrogen peroxide,H2O2,34.01468,0,0,0,0
nh4_c,Ammonium,NH4,18.03846,0,1,0,0
o2_c,O2,O2,31.9988,0,0,0,0
h_c,H+,H,1.00794,0,0,0,0
udp_c,UDP,C9H11N2O12P2,401.13736,9,2,0,2
udpg_c,UDPglucose,C15H22N2O17P2,564.2859,15,2,0,2
nad_c,Nicotinamide adenine dinucleotide,C21H26N7O14P2,662.41716,21,7,0,2
nadh_c,Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,663.4251,21,7,0,2
3hppnl_c,3-Hydroxypropanal,C3H6O2,74.07854,3,0,0,0
13ppd_c,"1,3-Propanediol",C3H8O2,76.09442,3,0,0,0
13ppd_e,"1,3-Propanediol",C3H8O2,76.09442,3,0,0,0
13ppd_p,"1,3-Propanediol",C3H8O2,76.09442,3,0,0,0
coa_c,Coenzyme A,C21H32N7O16P3S,763.50237,21,7,1,3
nadp_c,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,740.38119,21,7,0,3
nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,741.38913,21,7,0,3
h_p,H+,H,1.00794,0,0,0,0
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,133.12256,5,0,0,0
23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4,147.14914,6,0,0,0
dkmpp_c,"2,3-diketo-5-methylthio-1-phosphopentane",C6H9O6PS,240.17082,6,0,1,1
h2o_p,H2O,H2O,18.01528,0,0,0,0
26dap__M_e,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4,190.19706,7,2,0,0
23dhdp_c,"2,3-Dihydrodipicolinate",C7H5NO4,167.1189,7,1,0,0
2agpe120_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P1,397.444,17,1,0,1
2agpe120_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P1,397.444,17,1,0,1
2agpe141_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P1,423.48128,19,1,0,1
2agpe141_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P1,423.48128,19,1,0,1
2agpe180_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),C23H48NO7P1,481.60348,23,1,0,1
2agpe180_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),C23H48NO7P1,481.60348,23,1,0,1
2agpe181_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P1,479.5876,23,1,0,1
2agpe181_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P1,479.5876,23,1,0,1
amp_c,AMP,C10H12N5O7P,345.20534,10,5,0,1
ddca_c,Dodecanoate (n-C12:0),C12H23O2,199.30982,12,0,0,0
pe120_c,"Phosphatidylethanolamine (didodecanoyl, n-C12:0)",C29H58N1O8P1,579.74648,29,1,0,1
ppi_c,Diphosphate,HO7P2,174.95126,0,0,0,2
pe140_c,"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",C33H66NO8P,635.8528,33,1,0,1
ttdca_c,Tetradecanoate (n-C14:0),C14H27O2,227.36298,14,0,0,0
pe141_c,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)",C33H62N1O8P1,631.82104,33,1,0,1
ttdcea_c,Tetradecenoate (n-C14:1),C14H25O2,225.3471,14,0,0,0
hdca_c,Hexadecanoate (n-C16:0),C16H31O2,255.41614,16,0,0,0
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",C37H74NO8P,691.95912,37,1,0,1
hdcea_c,Hexadecenoate (n-C16:1),C16H29O2,253.40026,16,0,0,0
pe161_c,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",C37H70NO8P,687.92736,37,1,0,1
ocdca_c,Octadecanoate (n-C18:0),C18H35O2,283.4693,18,0,0,0
pe180_c,"Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",C41H82N1O8P1,748.06544,41,1,0,1
ocdcea_c,Octadecenoate (n-C18:1),C18H33O2,281.45342,18,0,0,0
pe181_c,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",C41H78N1O8P1,744.03368,41,1,0,1
2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P1,427.4468,18,0,0,1
2agpg120_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P1,427.4468,18,0,0,1
2agpg180_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P1,511.60628,24,0,0,1
2agpg180_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P1,511.60628,24,0,0,1
2agpg181_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P1,509.5904,24,0,0,1
2agpg181_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P1,509.5904,24,0,0,1
pg120_c,"Phosphatidylglycerol (didodecanoyl, n-C12:0)",C30H58O10P1,609.74928,30,0,0,1
pg140_c,"Phosphatidylglycerol (ditetradecanoyl, n-C14:0)",C34H66O10P1,665.8556,34,0,0,1
pg141_c,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)",C34H62O10P1,661.82384,34,0,0,1
pg160_c,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",C38H74O10P1,721.96192,38,0,0,1
pg161_c,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",C38H70O10P1,717.93016,38,0,0,1
pg180_c,"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)",C42H82O10P1,778.06824,42,0,0,1
pg181_c,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",C42H78O10P1,774.03648,42,0,0,1
pyr_c,Pyruvate,C3H3O3,87.05412,3,0,0,0
pap_c,"Adenosine 3',5'-bisphosphate",C10H11N5O10P2,423.16936,10,5,0,2
paps_c,3'-Phosphoadenylyl sulfate,C10H11N5O13P2S,503.23256,10,5,1,2
akg_c,2-Oxoglutarate,C5H4O5,144.08226,5,0,0,0
2aobut_c,L-2-Amino-3-oxobutanoate,C4H7NO3,117.10328,4,1,0,0
2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P,285.12206,7,0,0,1
glcn_c,D-Gluconate,C6H11O7,195.14734,6,0,0,0
2dhglcn_c,2-Dehydro-D-gluconate,C6H9O7,193.13146,6,0,0,0
6p2dhglcn_c,6-Phospho-2-dehydro-D-gluconate,C6H11O10P,274.1193,6,0,0,1
2dhglcn_p,2-Dehydro-D-gluconate,C6H9O7,193.13146,6,0,0,0
2dhp_c,2-Dehydropantoate,C6H9O4,145.13326,6,0,0,0
3mob_c,3-Methyl-2-oxobutanoate,C5H7O3,115.10728,5,0,0,0
fald_c,Formaldehyde,CH2O,30.02598,1,0,0,0
2dr1p_c,2-Deoxy-D-ribose 1-phosphate,C5H9O7P,212.09452,5,0,0,1
drib_c,Deoxyribose C5H10O4,C5H10O4,134.1305,5,0,0,0
2obut_c,2-Oxobutanoate,C4H5O3,101.0807,4,0,0,0
h_e,H+,H,1.00794,0,0,0,0
hco3_c,Bicarbonate,HCO3,61.01684,1,0,0,0
na1_c,Sodium,Na,22.98977,0,0,0,0
na1_e,Sodium,Na,22.98977,0,0,0,0
2hh24dd_c,2-Hydroxyhepta-2-4-dienedioate,C7H6O5,170.11954,7,0,0,0
4h2kpi_c,4-Hydroxy-2-ketopimelate,C7H8O6,188.13482,7,0,0,0
24dhhed_c,"2,4-Dihydroxyhept-2-enedioate",C7H8O6,188.13482,7,0,0,0
2ins_c,2-Inosose,C6H10O6,178.14,6,0,0,0
2mb2coa_c,Trans-2-Methylbut-2-enoyl-CoA,C26H38N7O17P3S,845.60291,26,7,1,3
2mcit_c,2-Methylcitrate,C7H7O7,203.12628,7,0,0,0
2pg_c,D-Glycerate 2-phosphate,C3H4O7P,183.03342,3,0,0,1
2pglyc_c,2-Phosphoglycolate,C2H2O6P,153.00744,2,0,0,1
pi_p,Phosphate,HO4P,95.9793,0,0,0,1
gdp_c,GDP,C10H12N5O11P2,440.1767,10,5,0,2
gtp_c,GTP,C10H12N5O14P3,519.14867,10,5,0,3
lac__L_c,L-Lactate,C3H5O3,89.07,3,0,0,0
co2_c,CO2,CO2,44.0095,1,0,0,0
34dhpha_c,3-4-Dihydroxyphenylacetate,C8H7O4,167.13878,8,0,0,0
34dhbz_c,"3,4-Dihydroxybenzoate",C7H5O4,153.1122,7,0,0,0
5cmhmsa_c,2-Hydroxy-5-carboxymethylmuconate-Semialdehyde,C8H6O6,198.12964,8,0,0,0
ahcys_c,S-Adenosyl-L-homocysteine,C14H20N6O5S,384.4108,14,6,1,0
amet_c,S-Adenosyl-L-methionine,C15H23N6O5S,399.44532,15,6,1,0
leu__L_c,L-Leucine,C6H13NO2,131.17292,6,1,0,0
leu__L_e,L-Leucine,C6H13NO2,131.17292,6,1,0,0
34hpp_c,3-(4-Hydroxyphenyl)pyruvate,C9H7O4,179.14948,9,0,0,0
hgentis_c,Homogentisate C8H7O4,C8H7O4,167.13878,8,0,0,0
3amac_c,3-Aminoacrylate,C3H4NO2,86.06936,3,1,0,0
msa_c,Malonate semialdehyde,C3H3O3,87.05412,3,0,0,0
3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate,C7H10O5,174.1513,7,0,0,0
3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate,C7H8O5,172.13542,7,0,0,0
3hdecACP_c,(R)-3-Hydroxydecanoyl-[acyl-carrier protein],C394H621O144N96P1S3,9133.8721,394,96,3,1
ACP_c,Acyl carrier protein,C384H603N96O142P1S3,8963.62338,384,96,3,1
3hddecACP_c,(R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C396H625O144N96P1S3,9161.92526,396,96,3,1
3hcddec5eACP_c,(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],C396H623O144N96P1S3,9159.90938,396,96,3,1
3hmrsACP_c,(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C398H629O144N96P1S3,9189.97842,398,96,3,1
3hcmrs7eACP_c,(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],C398H627O144N96P1S3,9187.96254,398,96,3,1
3hhexACP_c,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C390H613O144N96P1S3,9077.76578,390,96,3,1
3hoctACP_c,(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C392H617O144N96P1S3,9105.81894,392,96,3,1
tdec2eACP_c,Trans-Dec-2-enoyl-[acyl-carrier protein],C394H619O143N96P1S3,9115.85682,394,96,3,1
tddec2eACP_c,Trans-Dodec-2-enoyl-[acyl-carrier protein],C396H623O143N96P1S3,9143.90998,396,96,3,1
t3c5ddeceACP_c,Trans-3-cis-5-dodecenoyl-[acyl-carrier protein],C396H621O143N96P1S3,9141.8941,396,96,3,1
tmrs2eACP_c,Trans-Tetradec-2-enoyl-[acyl-carrier protein],C398H627O143N96P1S3,9171.96314,398,96,3,1
t3c7mrseACP_c,Trans-3-cis-7-myristoleoyl-[acyl-carrier protein],C398H625O143N96P1S3,9169.94726,398,96,3,1
3hpalmACP_c,R-3-hydroxypalmitoyl-[acyl-carrier protein],C400H633O144N96P1S3,9218.03158,400,96,3,1
tpalm2eACP_c,Trans-Hexadec-2-enoyl-[acyl-carrier protein],C400H631O143N96P1S3,9200.0163,400,96,3,1
3hcpalm9eACP_c,(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein],C400H631O144N96P1S3,9216.0157,400,96,3,1
t3c9palmeACP_c,Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein],C400H629O143N96P1S3,9198.00042,400,96,3,1
3hoctaACP_c,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C402H637O144N96P1S3,9246.08474,402,96,3,1
toctd2eACP_c,Trans-octadec-2-enoyl-[acyl-carrier protein],C402H635O143N96P1S3,9228.06946,402,96,3,1
3hcvac11eACP_c,(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein],C402H635O144N96P1S3,9244.06886,402,96,3,1
t3c11vaceACP_c,Trans-3-cis-11-vacceoyl-[acyl-carrier protein],C402H633O143N96P1S3,9226.05358,402,96,3,1
3haACP_c,(3R)-3-Hydroxyacyl-[acyl-carrier protein],C388H609O144N96P1S3,9049.71262,388,96,3,1
but2eACP_c,But-2-enoyl-[acyl-carrier protein],C388H607O143N96P1S3,9031.69734,388,96,3,1
thex2eACP_c,Trans-Hex-2-enoyl-[acyl-carrier protein],C390H611O143N96P1S3,9059.7505,390,96,3,1
toct2eACP_c,Trans-Oct-2-enoyl-[acyl-carrier protein],C392H615O143N96P1S3,9087.80366,392,96,3,1
3hmp_c,3-Hydroxy-2-methylpropanoate,C4H7O3,103.09658,4,0,0,0
3hibutcoa_c,(S)-3-Hydroxyisobutyryl-CoA,C25H38N7O18P3S,849.59161,25,7,1,3
3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate,C7H10O5,174.1513,7,0,0,0
lpam_c,Lipoamide C8H15NOS2,C8H15NOS2,205.3408,8,1,2,0
3mop_c,(S)-3-Methyl-2-oxopentanoate,C6H9O3,129.13386,6,0,0,0
na1_p,Sodium,Na,22.98977,0,0,0,0
nh4_p,Ammonium,NH4,18.03846,0,1,0,0
o2_p,O2,O2,31.9988,0,0,0,0
adn_c,Adenosine,C10H13N5O4,267.24132,10,5,0,0
uri_c,Uridine,C9H12N2O6,244.20138,9,2,0,0
cytd_c,Cytidine,C9H13N3O5,243.21662,9,3,0,0
gsn_c,Guanosine,C10H13N5O5,283.24072,10,5,0,0
malcoa_c,Malonyl-CoA,C24H33N7O19P3S,848.54061,24,7,1,3
pmtcoa_c,Palmitoyl-CoA (n-C16:0CoA),C37H62N7O17P3S,1001.91117,37,7,1,3
oxadpcoa_c,3-Oxoadipyl-CoA,C27H37N7O20P3S,904.60387,27,7,1,3
succ_c,Succinate,C4H4O4,116.07216,4,0,0,0
succoa_c,Succinyl-CoA,C25H35N7O19P3S,862.56719,25,7,1,3
3oxoadp_c,3-Oxoadipate,C6H6O5,158.10884,6,0,0,0
3odecACP_c,3-Oxodecanoyl-[acyl-carrier protein],C394H619O144N96P1S3,9131.85622,394,96,3,1
3oddecACP_c,3-Oxododecanoyl-[acyl-carrier protein],C396H623O144N96P1S3,9159.90938,396,96,3,1
3ocddec5eACP_c,3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein],C396H621O144N96P1S3,9157.8935,396,96,3,1
3omrsACP_c,3-Oxotetradecanoyl-[acyl-carrier protein],C398H627O144N96P1S3,9187.96254,398,96,3,1
3ocmrs7eACP_c,3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein],C398H625O144N96P1S3,9185.94666,398,96,3,1
3opalmACP_c,3-Oxohexadecanoyl-[acyl-carrier protein],C400H631O144N96P1S3,9216.0157,400,96,3,1
3ocpalm9eACP_c,3-oxo-cis-palm-9-eoyl-[acyl-carrier protein],C400H629O144N96P1S3,9213.99982,400,96,3,1
3ooctdACP_c,3-Oxooctadecanoyl-[acyl-carrier protein],C402H635O144N96P1S3,9244.06886,402,96,3,1
3ocvac11eACP_c,3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein],C402H633O144N96P1S3,9242.05298,402,96,3,1
actACP_c,Acetoacetyl-ACP,C388H607O144N96P1S3,9047.69674,388,96,3,1
3ohexACP_c,3-Oxohexanoyl-[acyl-carrier protein],C390H611O144N96P1S3,9075.7499,390,96,3,1
3ooctACP_c,3-Oxooctanoyl-[acyl-carrier protein],C392H615O144N96P1S3,9103.80306,392,96,3,1
malACP_c,Malonyl-[acyl-carrier protein],C387H604O145N96P1S3,9048.66162,387,96,3,1
ocACP_c,Octanoyl-ACP (n-C8:0ACP),C392H617O143N96P1S3,9089.81954,392,96,3,1
dcaACP_c,Decanoyl-ACP (n-C10:0ACP),C394H621O143N96P1S3,9117.8727,394,96,3,1
cdec3eACP_c,Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1),C394H619O143N96P1S3,9115.85682,394,96,3,1
ddcaACP_c,Dodecanoyl-ACP (n-C12:0ACP),C396H625O143N96P1S3,9145.92586,396,96,3,1
cddec5eACP_c,Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1),C396H623O143N96P1S3,9143.90998,396,96,3,1
myrsACP_c,Myristoyl-ACP (n-C14:0ACP),C398H629O143N96P1S3,9173.97902,398,96,3,1
tdeACP_c,Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1),C398H627O143N96P1S3,9171.96314,398,96,3,1
palmACP_c,Palmitoyl-ACP (n-C16:0ACP),C400H633O143N96P1S3,9202.03218,400,96,3,1
hdeACP_c,Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1),C400H631O143N96P1S3,9200.0163,400,96,3,1
butACP_c,Butyryl-ACP (n-C4:0ACP),C388H609O143N96P1S3,9033.71322,388,96,3,1
hexACP_c,Hexanoyl-ACP (n-C6:0ACP),C390H613O143N96P1S3,9061.76638,390,96,3,1
accoa_c,Acetyl-CoA,C23H34N7O17P3S,805.53905,23,7,1,3
LalaDgluMdap_c,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",C15H25N4O8,389.381,15,4,0,0
LalaDgluMdap_p,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",C15H25N4O8,389.381,15,4,0,0
3pg_c,3-Phospho-D-glycerate,C3H4O7P,183.03342,3,0,0,1
h2_c,H2,H2,2.01588,0,0,0,0
asp__L_c,L-Aspartate,C4H6NO4,132.09474,4,1,0,0
so3_c,Sulfite,SO3,80.0632,0,0,1,0
4abut_c,4-Aminobutanoate,C4H9NO2,103.11976,4,1,0,0
4abutn_c,4-Aminobutanal,C4H10NO,88.1283,4,1,0,0
4abz_c,4-Aminobenzoate,C7H6NO2,136.12804,7,1,0,0
5cmhm_c,5-Carboxymethyl-2-hydroxymuconate,C8H5O7,213.1211,8,0,0,0
4cml_c,4-Carboxymuconolactone,C7H4O6,184.10306,7,0,0,0
5odhf2a_c,"5-Oxo-4,5-dihydrofuran-2-acetate",C6H5O4,141.1015,6,0,0,0
sucsal_c,Succinic semialdehyde,C4H5O3,101.0807,4,0,0,0
4hphac_c,4-Hydroxyphenylacetate,C8H7O3,151.13938,8,0,0,0
4hbald_c,4-Hydroxybenzaldehyde,C7H6O2,122.12134,7,0,0,0
4hbald_p,4-Hydroxybenzaldehyde,C7H6O2,122.12134,7,0,0,0
4hba_p,4-Hydroxy-benzyl alcohol,C7H8O2,124.13722,7,0,0,0
4hbz_c,4-Hydroxybenzoate,C7H5O3,137.1128,7,0,0,0
4hbzcoa_c,4 hydroxybenoyl CoA C28H36N7O18P3S,C28H36N7O18P3S,883.60783,28,7,1,3
benzcoa_c,Benzoyl-CoA,C28H40N7O17P3S,871.64019,28,7,1,3
fdxo_42_c,Ferredoxin (oxidized form 4:2),Fe12S12X,1054.92,0,0,12,0
fdxr_42_c,Ferredoxin (reduced form 4:2),Fe12S12X,1054.92,0,0,12,0
fad_c,Flavin adenine dinucleotide oxidized,C27H31N9O15P2,783.53386,27,9,0,2
fadh2_c,Flavin adenine dinucleotide reduced,C27H33N9O15P2,785.54974,27,9,0,2
4hphac_p,4-Hydroxyphenylacetate,C8H7O3,151.13938,8,0,0,0
ala__L_c,L-Alanine,C3H7NO2,89.09318,3,1,0,0
ala__L_e,L-Alanine,C3H7NO2,89.09318,3,1,0,0
4hthr_c,4-Hydroxy-L-threonine,C4H9NO4,135.11856,4,1,0,0
phthr_c,O-Phospho-4-hydroxy-L-threonine,C4H8NO7P,213.08258,4,1,0,1
4izp_c,4-Imidazolone-5-propanoate,C6H7N2O3,155.13138,6,2,0,0
4mop_c,4-Methyl-2-oxopentanoate,C6H9O3,129.13386,6,0,0,0
for_c,Formate,CH1O2,45.01744,1,0,0,0
cl_c,Chloride,Cl,35.453,0,0,0,0
cl_e,Chloride,Cl,35.453,0,0,0,0
ala__D_c,D-Alanine,C3H7NO2,89.09318,3,1,0,0
ala__D_p,D-Alanine,C3H7NO2,89.09318,3,1,0,0
5aop_c,5-Amino-4-oxopentanoate,C5H9NO3,131.12986,5,1,0,0
5cohe_c,5-Carboxy-2-oxohept-3-enedioate,C8H5O7,213.1211,8,0,0,0
5dglcn_c,5-Dehydro-D-gluconate,C6H9O7,193.13146,6,0,0,0
5drib_c,5'-deoxyribose,C5H10O4,134.1305,5,0,0,0
ade_c,Adenine,C5H5N5,135.1267,5,5,0,0
dad_5_c,5'-Deoxyadenosine,C10H13N5O3,251.24192,10,5,0,0
prpp_c,5-Phospho-alpha-D-ribose 1-diphosphate,C5H8O14P3,385.02991,5,0,0,3
5fthf_c,5-Formyltetrahydrofolate,C20H21N7O7,471.42344,20,7,0,0
ribflv_c,Riboflavin,C17H20N4O6,376.3639,17,4,0,0
air_c,5-amino-1-(5-phospho-D-ribosyl)imidazole,C8H12N3O7P,293.17054,8,3,0,1
5mta_c,5-Methylthioadenosine,C11H15N5O3S,297.3335,11,5,1,0
5mthf_c,5-Methyltetrahydrofolate,C20H24N7O6,458.44786,20,7,0,0
acald_c,Acetaldehyde,C2H4O,44.05256,2,0,0,0
ahdt_c,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",C9H12N5O13P3,491.13857,9,5,0,3
pppi_c,Inorganic triphosphate,HO10P3,253.92323,0,0,0,3
6pgc_c,6-Phospho-D-gluconate,C6H10O10P,273.11136,6,0,0,1
6pgl_c,"6-phospho-D-glucono-1,5-lactone",C6H9O9P,256.10402,6,0,0,1
g6p_c,D-Glucose 6-phosphate,C6H11O9P,258.1199,6,0,0,1
gln__L_c,L-Glutamine,C5H10N2O3,146.1445,5,2,0,0
cys__L_c,L-Cysteine,C3H7NO2S,121.15818,3,1,1,0
ser__L_c,L-Serine,C3H7NO3,105.09258,3,1,0,0
thr__L_c,L-Threonine,C4H9NO3,119.11916,4,1,0,0
udpgal_c,UDPgalactose,C15H22N2O17P2,564.2859,15,2,0,2
ara5p_c,D-Arabinose 5-phosphate,C5H9O8P,228.09392,5,0,0,1
ru5p__D_c,D-Ribulose 5-phosphate,C5H9O8P,228.09392,5,0,0,1
his__L_c,L-Histidine,C6H9N3O2,155.15456,6,3,0,0
ac_c,Acetate,C2H3O2,59.04402,2,0,0,0
aacoa_c,Acetoacetyl-CoA,C25H36N7O18P3S,847.57573,25,7,1,3
acac_c,Acetoacetate,C4H5O3,101.0807,4,0,0,0
octeACP_c,Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1),C402H635O143N96P1S3,9228.06946,402,96,3,1
ocdcaACP_c,Octadecanoyl-ACP (n-C18:0ACP),C402H637O143N96P1S3,9230.08534,402,96,3,1
dca_c,Decanoate (n-C10:0),C10H19O2,171.25666,10,0,0,0
octa_c,Octanoate (n-C8:0),C8H15O2,143.2035,8,0,0,0
mthgxl_c,Methylglyoxal,C3H4O2,72.06266,3,0,0,0
dtdp_c,DTDP,C10H13N2O11P2,399.16454,10,2,0,2
malthx_c,Maltohexaose,C36H62O31,990.85888,36,0,0,0
dextrin_e,Dextrin C12H20O10,C12H20O10,324.2812,12,0,0,0
malthx_p,Maltohexaose,C36H62O31,990.85888,36,0,0,0
arab__L_c,L-Arabinose,C5H10O5,150.1299,5,0,0,0
tre_c,Trehalose,C12H22O11,342.29648,12,0,0,0
arab__L_e,L-Arabinose,C5H10O5,150.1299,5,0,0,0
araban__L_e,Alpha-L-Arabinan (3 subunits),C15H26O13,414.35914,15,0,0,0
xylu__D_c,D-Xylulose,C5H10O5,150.1299,5,0,0,0
abt__L_c,L Arabinitol C5H12O5,C5H12O5,152.14578,5,0,0,0
abt__L_e,L Arabinitol C5H12O5,C5H12O5,152.14578,5,0,0,0
acac_e,Acetoacetate,C4H5O3,101.0807,4,0,0,0
3ohcoa_c,3-Oxohexanoyl-CoA,C27H40N7O18P3S,875.62889,27,7,1,3
btcoa_c,Butanoyl-CoA,C25H38N7O17P3S,833.59221,25,7,1,3
3oocoa_c,3-Oxooctanoyl-CoA,C29H44N7O18P3S,903.68205,29,7,1,3
hxcoa_c,Hexanoyl-CoA (n-C6:0CoA),C27H42N7O17P3S,861.64537,27,7,1,3
3odcoa_c,3-Oxodecanoyl-CoA,C31H48N7O18P3S,931.73521,31,7,1,3
occoa_c,Octanoyl-CoA (n-C8:0CoA),C29H46N7O17P3S,889.69853,29,7,1,3
3oddcoa_c,3-Oxododecanoyl-CoA,C33H52N7O18P3S,959.78837,33,7,1,3
dcacoa_c,Decanoyl-CoA (n-C10:0CoA),C31H50N7O17P3S,917.75169,31,7,1,3
dccoa_c,Decanoyl CoA C31H50N7O17P3S,C31H50N7O17P3S,917.75169,31,7,1,3
3otdcoa_c,3-Oxotetradecanoyl-CoA,C35H56N7O18P3S,987.84153,35,7,1,3
ddcacoa_c,Dodecanoyl-CoA (n-C12:0CoA),C33H54N7O17P3S,945.80485,33,7,1,3
ddcoa_c,Dodecanoyl CoA  n C120CoA  C33H54N7O17P3S,C33H54N7O17P3S,945.80485,33,7,1,3
3ohdcoa_c,3-Oxohexadecanoyl-CoA,C37H60N7O18P3S,1015.89469,37,7,1,3
tdcoa_c,Tetradecanoyl-CoA (n-C14:0CoA),C35H58N7O17P3S,973.85801,35,7,1,3
